Timestamp,Calex_Seq,Calex_Mode,HS_V,LS_V,HS_A,LS_A,Calex_Faults,Pack_V,Pack_A,SOC_%,T_Max,T_Min,Cell_Max_mV,Cell_Min_mV,Cell_1,Cell_2,Cell_3,Cell_4,Cell_5,Cell_6,Cell_7,Cell_8,Cell_9,Cell_10,Cell_11,Cell_12,Cell_13,Cell_14,Cell_15,Cell_16,Cell_17,Cell_18,Cell_19,Cell_20,Cell_21,Cell_22,Cell_23,Cell_24
17:24:16.280,BOOST,0,0,0,0,0,None,28.5,0.0,67,22,21,2384,2377,2379,2383,2382,2383,2383,2383,2383,2383,2383,2383,2384,2377,0,0,0,0,0,0,0,0,0,0,0,0
17:24:16.389,BOOST,0,0,0,0,0,None,28.5,0.0,67,22,21,2384,2377,2379,2383,2382,2383,2383,2383,2383,2383,2383,2383,2384,2377,0,0,0,0,0,0,0,0,0,0,0,0
17:24:16.490,BOOST,0,0,0,0,0,None,28.5,0.0,67,22,21,2383,2377,2379,2383,2382,2383,2383,2383,2383,2383,2383,2383,2384,2377,0,0,0,0,0,0,0,0,0,0,0,0
17:24:16.594,BOOST,0,0,0,0,0,None,28.5,0.0,67,22,21,2383,2377,2379,2383,2382,2383,2383,2383,2383,2383,2383,2383,2384,2377,0,0,0,0,0,0,0,0,0,0,0,0
17:24:16.703,BOOST,0,0,0,0,0,None,28.5,0.0,67,22,21,2383,2377,2379,2383,2382,2383,2383,2383,2383,2383,2383,2383,2384,2377,0,0,0,0,0,0,0,0,0,0,0,0
17:24:16.812,BOOST,0,0,0,0,0,None,28.5,0.0,67,22,21,2383,2377,2379,2383,2382,2383,2383,2383,2383,2383,2383,2383,2384,2377,0,0,0,0,0,0,0,0,0,0,0,0
17:24:16.913,BOOST,0,0,0,0,0,None,28.5,0.0,67,22,21,2384,2377,2379,2383,2382,2383,2383,2383,2383,2383,2383,2383,2384,2377,0,0,0,0,0,0,0,0,0,0,0,0
17:24:17.018,BOOST,0,0,0,0,0,None,28.5,0.0,67,22,21,2384,2377,2379,2383,2382,2383,2383,2383,2383,2383,2383,2383,2384,2377,0,0,0,0,0,0,0,0,0,0,0,0
17:24:17.123,BOOST,0,0,0,0,0,None,28.5,0.0,67,22,21,2384,2377,2379,2383,2382,2383,2383,2383,2383,2383,2383,2383,2384,2377,0,0,0,0,0,0,0,0,0,0,0,0
17:24:17.226,BOOST,0,0,0,0,0,None,28.5,0.0,67,22,21,2384,2377,2379,2383,2382,2383,2383,2383,2383,2383,2383,2383,2384,2377,0,0,0,0,0,0,0,0,0,0,0,0
17:24:17.329,BOOST,0,0,0,0,0,None,28.5,0.0,67,22,21,2383,2377,2379,2383,2382,2383,2383,2383,2383,2383,2383,2383,2384,2377,0,0,0,0,0,0,0,0,0,0,0,0
17:24:17.437,BOOST,0,0,0,0,0,None,28.5,0.0,67,22,21,2383,2377,2379,2383,2382,2383,2383,2383,2383,2383,2383,2383,2384,2377,0,0,0,0,0,0,0,0,0,0,0,0
17:24:17.537,BOOST,0,0,0,0,0,None,28.5,0.0,67,22,21,2383,2377,2379,2383,2382,2383,2383,2383,2383,2383,2383,2383,2384,2377,0,0,0,0,0,0,0,0,0,0,0,0
